uuid,CRM_Note
85794416-4b22-41fd-80e7-ce11664bfcbc,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6b8bec53-5c1b-4ea8-a428-73a797e97328,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
0a809890-9973-4fa1-91f8-ad4ff926c369,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
2b206eb2-c856-44b2-b61f-36add9e4859b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ee373911-701a-4491-bc61-c8c6968f1360,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4650809c-0420-4245-912d-60209b428b5e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c20ff5bd-27f6-40a9-b2a1-297b5d1f089d,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
a023a2e4-96f0-4b03-bd05-0004a81d1a06,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
085668dd-6990-4328-bbaa-16a2d4a55167,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ffd4ff87-f983-44ea-9820-acf1815faae5,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
337e8a6a-2b00-4bb9-9356-2f48707b6a73,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
9c6a5f7f-1572-4c42-b713-186220db59d5,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
56310366-4ac3-4304-8ddd-0d8b1c6d1562,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
21efa2e9-24dc-4bb4-bedf-64321443869f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
7a20187d-d828-4d82-8257-94af901daf1d,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c450d295-a3bb-493e-9e23-341cc0a355f9,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
133cd096-3e9a-4eb7-b09a-ef0712b5e430,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b91d5e7c-0033-486e-9649-102803fd56c1,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
67c8c18e-90d8-4266-8df7-3511244caf5f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e4c4f373-4e8c-4620-886c-a17b30f3aaf6,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
363fdf7c-595f-4129-b770-6759ff605f97,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
8958cddc-a27f-4c6e-9062-a24d5b6cd7bf,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
961864c8-ad29-4b7b-ac21-a12f67122e31,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
18a0a47e-21b1-4fa7-8f3d-40ca779e0cd6,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b7962a98-bdc8-4c07-83b3-8f224512ecc8,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5bd49a6d-1959-4300-8e43-2dc236f5cc64,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5b592797-9f45-417b-84f7-42857c353f4e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
9db216d8-9d1c-4dac-a082-88dc138b07ad,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6e1b4fda-8af5-475c-9d20-9b8ad8bcbe75,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
28301a8f-4ca5-42fb-91db-04658fffbc9a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
89d6d83f-9347-402d-9994-fbe6cc2bcae4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c0526261-d1e8-44ae-bb92-3a91ec0a22eb,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d644ed91-86e2-4954-8c0e-eabffca27950,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ace2bbee-31e0-4f64-a453-f87d1ca76a67,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4547c7c1-6eec-4dfc-a29d-7216d1a13dda,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4f28b136-1f10-4a2f-9c29-c740818d5229,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
698efd68-88ec-45e5-8357-1ae521f0f943,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
1d322a32-1b37-460e-abca-8d8616e40fae,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4e09828e-b557-4c0c-9edf-ee8439e63576,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
1967781f-84f9-48e9-bbc0-5f251a4d3844,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
8d0d4acc-0da8-4290-8ac8-2cc3d623385f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e8143bf0-06ea-495a-aa2f-9d078a8126f6,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3f18d67a-bd4c-4cd0-9492-8a58de69a67b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
bc5d5deb-44f9-4b6a-af13-9fd2b33723ad,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
18c41532-c81a-423d-9c34-481df85973c9,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c121d6e9-103b-45c3-8dff-81198a4e801f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5ff41d0f-2bda-44e8-9ebe-7b905768f271,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
78f090e5-4fa8-4310-b339-4cc6422594c3,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
010d392f-a23c-40d4-b2f8-10dd5a2553aa,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d279862f-f0a2-4c21-b1e5-20c9fdd4dd66,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
90b1fdaa-6562-4c8a-b074-d78a08deac2a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
71e8ad6a-71ed-4d89-8c79-094c5af09cbf,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
66127d3e-6998-41d7-9cfd-bdabbf1d89e4,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
29d914b8-a019-47f2-b69d-eedf211f7d1f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
2bd65003-771a-48b7-a773-04a027ac8f87,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
8b0cfab3-29fd-4094-a62c-5a550dfcdb90,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6df5720a-0289-499e-9d8d-e915096f5684,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
90970542-41ef-4a1c-9951-f80d5dd78a47,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
68e1c98c-b45a-46ce-b311-983187947050,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c25fb2b9-457b-420e-84c7-1f66aaddb9f3,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
a7878e6f-3f52-44d2-bafc-8af8fa35b77b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
17e1c46c-92be-4191-b2d7-06c50b668e02,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5c26f023-f95f-434f-b04b-4cd8a209ae65,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d099bb2c-2d5d-4d3f-9f8e-583451a70b06,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
81b63482-7ab6-48ca-b793-dda1ce3d0e93,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
75410c0e-812e-4ff2-8efe-4338add790e9,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
81d5bf7e-ad7f-4b99-8a1a-d7e2d7ba82f7,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
7ab542df-3ae9-46ca-8e19-f49924940ed8,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3eeed000-27af-455f-912f-92260daf951a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6f96a979-295e-4030-baa4-d4eec4a074f5,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
2a8fcd63-3240-47e8-964c-0fd5538b5605,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
202c4657-6e49-4e90-9953-78c299940a1c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
c1cf688c-893d-4ebf-aa48-60b99b465820,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e88be134-5f22-426b-9f24-854cc91096be,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
dd191159-b6aa-408a-b269-cd02f400d00c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3d14c14c-3890-4f63-9ece-b37b21f3b910,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
a2d7a2a8-9117-4a09-9cfb-babe830d7a0c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4c85d855-351a-4a60-9bb3-c72c526a19a1,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
2cc639d6-1a23-481b-8b24-7364ce66d838,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d021f06e-3f65-48d4-a15e-a37163e05e36,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
459c037a-ef60-486f-b219-1d1992086d8e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b82c22f1-60ff-4823-bd10-54ac1f4cdffa,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
a561fccc-8c31-4c81-b9db-eb3cad38f1a3,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d4ae8f72-c069-496b-816e-c36c5cdbbc55,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
eaa8df4d-83ab-4e51-b447-fced5b4b7e3d,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
09b282d3-b743-4a77-89d7-d4a6cdc2c36b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ec750c17-92d7-4c42-9721-4e3d764ea523,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b5bcf8ee-cf09-420c-8df8-098fc37034ce,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d2d9442c-8e0f-460a-96e2-786aaf0fa383,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d812f5df-75e9-4c6a-8b3b-9de30e318f7e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
38b2594b-7ffc-4ad8-9a99-e7fdd439a718,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b27c656d-6e1a-47ee-950e-f4ebc21248fd,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
73c04a45-5406-456b-96bd-64b5ad5da024,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
69d185c2-881d-4883-9764-ce1efaab2bd3,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
348e3ac5-d439-460c-a44f-9d1c662fca7c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
42bde841-4bf2-481a-b9d4-214d2e7768ec,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4fe7cf57-7d23-408d-9c45-5ea7e972cd95,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
69d290c2-12f2-49d0-8c3e-640a7fa36d9f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e6cdf880-a553-4db7-89e5-48d2170371e8,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
fd187edb-7a82-4e96-8d7f-25dfe3281311,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-10 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
